CostID,Recency,Frequency,TotPaidR,Rscore,FScore,Mscore,RFM Score
{A0BDA410-F2B1-4C1A-8D71-9E97791E70AD},66,23,9200,1,1,1,3
{818CF197-8A0E-41CA-916E-820F12A2429C},71,20,8000,1,1,1,3
{1737BCC4-6FF7-491C-AF0E-8448EB0D18D2},76,19,7600,1,1,1,3
{B77D86FF-2068-4FED-9157-722F95A2AD89},28,17,6800,1,1,1,3
{CF084E3C-560C-4490-B00D-185A979888FF},87,13,5200,1,1,1,3
{06CAB67D-A67F-494F-A298-A21AF11FDC30},95,10,4000,1,1,1,3
{C6726D61-2160-4D63-BE46-5152ADD77160},102,9,3600,1,1,1,3
{E6798A39-C08F-4EDE-B9B9-835545901919},117,8,3200,1,1,1,3
{8DB40971-7C99-4ADB-962E-A1C4AE2D3D04},123,8,3200,1,1,1,3
{FF4FE1BE-01A9-4F57-8259-3308ECAF216B},133,8,3200,1,1,1,3
{17BFBA76-EAE6-4D71-8E65-7DCB9B1552A2},77,7,2800,1,1,1,3
{946C24ED-3509-4B0F-B227-D450FEA543E0},95,7,2800,1,1,1,3
{4803E389-E703-49FF-8567-2D51B4C1C5B6},29,6,2400,1,1,1,3
{08AC7BA5-19E1-45BB-9C84-DAEB6F9B970D},76,6,2400,1,1,1,3
{20BF89C9-DFCF-4EE7-8589-5748FB47C14C},76,6,2400,1,1,1,3
{DDBDF5D6-95CD-46DA-A80A-E61988513110},79,6,2400,1,1,1,3
{2017F9D3-8CA4-44C7-BF28-8545F785E8ED},95,6,2400,1,1,1,3
{04663F92-8AA4-4CDB-AF68-DD9C28011AAA},96,6,2400,1,1,1,3
{6E3978F9-6000-4DD8-A311-7402B9703982},118,6,2400,1,1,1,3
{E83DBD92-FD37-4B30-845C-AB350399CEEF},125,6,2400,1,1,1,3
{1B1C7FFD-9C55-430C-A2FA-213C5EBC0478},130,6,2400,1,1,1,3
{3EB2A590-7F0E-4F2E-9FC6-3FD8073171F0},133,6,2400,1,1,1,3
{4E171A2B-7E4B-45B4-9BD9-3493D7116C93},148,6,2400,1,1,1,3
{6C0ECEDC-4F1A-4238-8FFB-BEB051C89BBD},148,6,2400,1,1,1,3
{6B5668F0-FEDC-42C9-A1B4-4785555D9BCB},27,5,2000,1,1,1,3
{C3FDEDDC-5224-4054-BE34-61A582ECE324},68,5,2000,1,1,1,3
{E96FE5C4-5EB8-43BB-89EB-936764F4E355},69,5,2000,1,1,1,3
{302AFDB8-1D4B-4EA6-9AC7-69646C6A254C},74,5,2000,1,1,1,3
{64CF4815-3D0C-4114-8059-FBD61C66BAA3},74,5,2000,1,1,1,3
{2D9041DD-206B-4B73-8957-E552AE448834},75,5,2000,1,1,1,3
{A9DF27E9-F7B9-4976-94FD-CE7E0236684A},76,5,2000,1,1,1,3
{953CB4EF-C2C6-47CD-B930-48295AE1CDD8},77,5,2000,1,1,1,3
{4433EAC8-8BD5-4E27-A5C0-E8B04901D2F7},88,5,2000,1,1,1,3
{0FA633A9-C301-41F7-9214-50B7876CA188},94,5,2000,1,1,1,3
{291C3E79-67D6-454E-8B7C-C881FEF60895},94,5,2000,1,1,1,3
{2EB741BF-3BF5-478F-8B74-2EB5124AC575},94,5,2000,1,1,1,3
{701BF3FA-4FB7-4C95-8AA1-39C45B524632},94,5,2000,1,1,1,3
{93466657-6619-48CD-A1BF-18D4B96534BC},94,5,2000,1,1,1,3
{138F13FE-5A8F-4D3C-825E-7612FDA05C8A},95,5,2000,1,1,1,3
{16F1590C-CEF0-4AA4-9A15-A02B340CFB55},95,5,2000,1,1,1,3
{3B6B733D-70B7-4599-8E59-A74252E6FB32},95,5,2000,1,1,1,3
{416E5115-A789-4DAD-8343-3BBC2233F9AF},95,5,2000,1,1,1,3
